grupo,tempo_em_dias,n_risco,n_evento,n_censura,survival_prob,hazard_step,tempo_anos,n_inicial,tempo_max_dias
GERAL,12104,2086683,234,7,0.21827076001591486,0.00011213969730907857,33.138945927446954,67175202,49086
GERAL,12105,2086442,198,597,0.2182500464708064,9.489839640881463e-05,33.14168377823409,67175202,49086
GERAL,12106,2085647,85,671,0.21824115174703482,4.075473941659351e-05,33.14442162902122,67175202,49086
GERAL,12107,2084891,81,607,0.21823267287054127,3.885095192026825e-05,33.14715947980835,67175202,49086
GERAL,12108,2084203,203,734,0.21821141715188397,9.739934161883463e-05,33.14989733059548,67175202,49086
GERAL,12109,2083266,234,573,0.2181869068533366,0.00011232363029973129,33.152635181382614,67175202,49086
GERAL,12110,2082459,264,4,0.21815924660004507,0.00012677320417832957,33.15537303216975,67175202,49086
GERAL,12111,2082191,225,4,0.21813567247524815,0.00010805925104853494,33.158110882956876,67175202,49086
GERAL,12112,2081962,200,646,0.2181147176573912,9.606323266226762e-05,33.16084873374401,67175202,49086
GERAL,12113,2081116,82,685,0.21810612351518677,3.940193626880962e-05,33.163586584531146,67175202,49086
GERAL,12114,2080349,83,656,0.21809742170205265,3.989715187211376e-05,33.16632443531827,67175202,49086
GERAL,12115,2079610,245,654,0.21807172752462659,0.00011781055101677718,33.16906228610541,67175202,49086
GERAL,12116,2078711,276,579,0.21804277314049295,0.00013277458963752056,33.17180013689254,67175202,49086
GERAL,12117,2077856,358,27,0.2180052059015773,0.00017229297891672955,33.17453798767967,67175202,49086
GERAL,12118,2077471,91,10,0.217995656563109,4.3803258866188746e-05,33.177275838466805,67175202,49086
GERAL,12119,2077370,219,554,0.21797267507748666,0.00010542175924365905,33.18001368925393,67175202,49086
GERAL,12120,2076597,93,620,0.21796291321286765,4.4784808992789645e-05,33.18275154004107,67175202,49086
GERAL,12121,2075884,84,606,0.21795409341141925,4.046468877837105e-05,33.1854893908282,67175202,49086
GERAL,12122,2075194,229,665,0.21793004193122453,0.00011035112861737264,33.18822724161533,67175202,49086
GERAL,12123,2074300,256,709,0.21790314606720565,0.00012341512799498626,33.190965092402465,67175202,49086
GERAL,12124,2073335,279,12,0.21787382375423994,0.00013456580822684226,33.1937029431896,67175202,49086
GERAL,12125,2073044,273,48,0.21784513186256524,0.0001316904030980529,33.19644079397673,67175202,49086
